,Survey Year,SalaryUSD,PostalCode,EmploymentStatus,JobTitle,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,Gender,OtherJobDuties
499,2020,125000.0,488,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",10,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
503,2020,70000.0,45211,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),3,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
506,2020,95000.0,84043,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",7,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
510,2020,95000.0,20814,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",8,1 (this is the only company where I've had this kind of position),1,Female,Not Asked
512,2020,56500.0,47546,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),5,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
513,2020,98750.0,23320,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",20,5,1,Male,Not Asked
514,2020,115000.0,,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",10,5,None,Male,Not Asked
516,2020,155000.0,0214,Full time employee,Manager,3,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
517,2020,130000.0,14612,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),1,5,1,Male,Not Asked
523,2020,123000.0,60543,Full time employee of a consulting/contracting company,Architect,2,2 (I worked at another similar position elsewhere before this one),2,Female,Not Asked
524,2020,130000.0,19047,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",6,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
525,2020,85000.0,03825,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),3,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
526,2020,131000.0,276,Full time employee,Developer: T-SQL,12,5,More than 5,Male,Not Asked
527,2020,170000.0,30005,Full time employee,Developer: T-SQL,10,3,None,Male,Not Asked
528,2020,175000.0,60188,Full time employee,Architect,3,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
533,2020,107000.0,75214,Full time employee,Engineer,2,2 (I worked at another similar position elsewhere before this one),More than 5,Female,Not Asked
538,2020,162000.0,90232,"Independent consultant, contractor, freelancer,  or company owner","DBA (Development Focus - tunes queries, indexes, does deployments)",10,3,None,Male,Not Asked
539,2020,107000.0,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),10,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
540,2020,166400.0,60179,Full time employee of a consulting/contracting company,Architect,28,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
541,2020,208000.0,37179,Full time employee of a consulting/contracting company,Architect,16,6 or more,None,Male,Not Asked
542,2020,300000.0,77380,Full time employee,Data Scientist,7,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
544,2020,65000.0,,Full time employee,"Developer: App code (C#, JS, etc)",8,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
545,2020,150000.0,276xx,Full time employee,Developer: T-SQL,8,3,More than 5,Male,Not Asked
546,2020,85000.0,92101,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",1,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
547,2020,130000.0,60613,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",20,2 (I worked at another similar position elsewhere before this one),5,Male,Not Asked
548,2020,100000.0,53188,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),5,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
551,2020,118000.0,54,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),18,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
552,2020,73000.0,66212,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",3,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
553,2020,118000.0,63104,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",7,3,More than 5,Male,Not Asked
554,2020,110000.0,98408,Full time employee,Developer: T-SQL,15,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
555,2020,132000.0,01083,"Independent consultant, contractor, freelancer,  or company owner","Developer: App code (C#, JS, etc)",25,4,None,Male,Not Asked
556,2020,1850000.0,98010,Full time employee,Manager,5,1 (this is the only company where I've had this kind of position),4,Female,Not Asked
557,2020,145000.0,85306,"Independent consultant, contractor, freelancer,  or company owner",DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),15,6 or more,3,Male,Not Asked
558,2020,145000.0,430,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),5,3,1,Male,Not Asked
559,2020,74000.0,,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",3,1 (this is the only company where I've had this kind of position),2,Female,Not Asked
560,2020,61500.0,54495,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),7,1 (this is the only company where I've had this kind of position),2,Female,Not Asked
561,2020,168000.0,43035,"Independent consultant, contractor, freelancer,  or company owner","Developer: App code (C#, JS, etc)",1,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
563,2020,160000.0,53223,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",7,4,3,Male,Not Asked
565,2020,125000.0,606,Full time employee,"Developer: App code (C#, JS, etc)",8,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
566,2020,105000.0,,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",6,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
568,2020,100000.0,57104,Full time employee,Engineer,19,5,2,Male,Not Asked
571,2020,95000.0,55122,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",5,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
574,2020,140000.0,024,Full time employee,Engineer,8,3,None,Male,Not Asked
575,2020,115000.0,75039,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",10,5,2,Male,Not Asked
576,2020,82500.0,55317,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",3,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
577,2020,220000.0,,Full time employee,Architect,26,3,2,Non-binary/third gender,Not Asked
579,2020,75000.0,32225,Full time employee,Engineer,1,1 (this is the only company where I've had this kind of position),2,Prefer not to say,Not Asked
580,2020,135000.0,60603,Full time employee,Data Scientist,16,4,More than 5,Male,Not Asked
582,2020,137900.0,12207,Full time employee,Other,20,3,1,Male,Not Asked
583,2020,103000.0,68031,Full time employee,Architect,2,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
584,2020,125000.0,92130,Full time employee,Developer: T-SQL,12,6 or more,More than 5,Male,Not Asked
585,2020,320000.0,,Full time employee,Architect,4,6 or more,More than 5,Female,Not Asked
586,2020,115000.0,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),20,5,3,Male,Not Asked
587,2020,150000.0,27616,Full time employee,Architect,20,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
588,2020,94000.0,70810,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),5,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
589,2020,85000.0,06443,Full time employee,Analyst,1,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
590,2020,139000.0,76063,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",10,5,None,Male,Not Asked
591,2020,103000.0,37066,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",3,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
592,2020,82000.0,37923,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",5,3,None,Male,Not Asked
595,2020,320000.0,,Full time employee,Architect,4,6 or more,More than 5,Female,Not Asked
596,2020,107000.0,29201,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",9,3,None,Male,Not Asked
598,2020,120000.0,30101,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),10,5,3,Male,Not Asked
600,2020,125000.0,,Full time employee,Developer: T-SQL,20,3,3,Female,Not Asked
601,2020,120000.0,04092,Full time employee,Architect,18,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
603,2020,93000.0,,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",14,3,3,Male,Not Asked
604,2020,125000.0,85018,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),20,6 or more,2,Male,Not Asked
605,2020,111000.0,03801,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",6,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
607,2020,180000.0,98027,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",18,3,2,Male,Not Asked
609,2020,110000.0,,Full time employee,"Developer: App code (C#, JS, etc)",15,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
611,2020,110000.0,891,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),3,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
615,2020,88000.0,60611,Full time employee,Architect,3,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
617,2020,151000.0,750,Full time employee,Architect,10,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
618,2020,118000.0,841,Full time employee,Engineer,5,1 (this is the only company where I've had this kind of position),None,Female,Not Asked
620,2020,92000.0,14612,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",10,3,3,Female,Not Asked
622,2020,125000.0,146,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",5,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
623,2020,120000.0,,Full time employee,Developer: T-SQL,10,3,None,Female,Not Asked
624,2020,107800.0,32824,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),5,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
631,2020,90000.0,15212,Full time employee of a consulting/contracting company,"DBA (Development Focus - tunes queries, indexes, does deployments)",15,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
633,2020,74000.0,44124,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",8,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
635,2020,100000.0,27278,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),20,4,None,Male,Not Asked
636,2020,135000.0,07666,Full time employee,"Developer: App code (C#, JS, etc)",14,4,4,Male,Not Asked
637,2020,100000.0,28208,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",20,4,None,Female,Not Asked
639,2020,83000.0,89460,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",2,6 or more,None,Male,Not Asked
640,2020,60000.0,34761,Full time employee,Engineer,1,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
642,2020,70000.0,,Full time employee,Engineer,19,4,None,Male,Not Asked
643,2020,105000.0,28217,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),6,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
645,2020,96000.0,22304,Full time employee of a consulting/contracting company,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",6,3,1,Male,Not Asked
647,2020,134000.0,63104,Full time employee,Manager,12,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
648,2020,85000.0,,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",5,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
649,2020,123000.0,60134,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),8,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
653,2020,91000.0,53095,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",16,2 (I worked at another similar position elsewhere before this one),2,human  This is also my race.,Not Asked
654,2020,75000.0,65201,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),9,3,5,Male,Not Asked
655,2020,200000.0,39601,"Independent consultant, contractor, freelancer,  or company owner",DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),30,5,None,Male,Not Asked
656,2020,125000.0,65043,Full time employee,Manager,3,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
658,2020,132000.0,27560,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",11,5,More than 5,Male,Not Asked
661,2020,60000.0,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),1,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
663,2020,91350.0,84128,Full time employee,Engineer,10,2 (I worked at another similar position elsewhere before this one),5,Male,Not Asked
664,2020,133800.0,662,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",14,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
665,2020,130000.0,44136,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),10,2 (I worked at another similar position elsewhere before this one),None,Female,Not Asked
666,2020,98000.0,46805,Full time employee,Developer: T-SQL,15,3,None,Male,Not Asked
667,2020,103000.0,23060,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",9,3,None,Male,Not Asked
668,2020,82000.0,84020,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),2,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
669,2020,101900.0,84660,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",5,2 (I worked at another similar position elsewhere before this one),4,Male,Not Asked
671,2020,105000.0,30326,Full time employee,Other,5,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
672,2020,80000.0,79912,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),10,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
676,2020,96000.0,452,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",15,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
678,2020,142500.0,221,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),18,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
679,2020,92000.0,61801,Full time employee,"Developer: App code (C#, JS, etc)",17,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
682,2020,99000.0,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),10,3,None,Prefer not to say,Not Asked
683,2020,97000.0,48XXX,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",10,2 (I worked at another similar position elsewhere before this one),2,Female,Not Asked
685,2020,92000.0,48104,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),5,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
687,2020,107000.0,02916,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",10,4,1,Male,Not Asked
688,2020,125000.0,33182,Full time employee,Engineer,30,6 or more,None,Male,Not Asked
690,2020,104000.0,02914,Full time employee,Engineer,1,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
693,2020,110000.0,97035,Full time employee,Developer: T-SQL,8,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
709,2020,105000.0,,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",12,3,3,Male,Not Asked
710,2020,140000.0,84062,Full time employee,Architect,5,3,1,Male,Not Asked
711,2020,125000.0,1,Full time employee,Architect,1,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
712,2020,160000.0,85234,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),12,4,3,Male,Not Asked
713,2020,85000.0,32730,Full time employee,Manager,3,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
714,2020,122000.0,05403,Full time employee,Developer: T-SQL,19,6 or more,3,Male,Not Asked
715,2020,97500.0,32899,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),13,4,4,Male,Not Asked
716,2020,142500.0,441XX,Full time employee,Manager,6,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
717,2020,125000.0,179,Full time employee,Manager,12,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
718,2020,145000.0,60490,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),25,3,More than 5,Male,Not Asked
719,2020,150000.0,98004,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),6,3,More than 5,Male,Not Asked
720,2020,92000.0,29615,Full time employee,Analyst,14,2 (I worked at another similar position elsewhere before this one),3,Male,Not Asked
721,2020,130000.0,,Full time employee,Manager,12,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
723,2020,77000.0,17601,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",4,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
724,2020,143000.0,22306,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",2,4,4,Male,Not Asked
726,2020,120000.0,15222,Full time employee,Engineer,10,5,None,Female,Not Asked
727,2020,150000.0,02110,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",19,3,3,Male,Not Asked
728,2020,87000.0,98501,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),6,3,1,Male,Not Asked
729,2020,65000.0,85007,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),10,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
730,2020,130000.0,66210,Full time employee,Manager,23,2 (I worked at another similar position elsewhere before this one),4,Male,Not Asked
731,2020,48000.0,72404,Full time employee,Developer: T-SQL,2,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
732,2020,140000.0,94536,Full time employee of a consulting/contracting company,"DBA (Development Focus - tunes queries, indexes, does deployments)",8,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
733,2020,199000.0,20190,Full time employee,Developer: T-SQL,20,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
735,2020,145000.0,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),8,3,1,Male,Not Asked
736,2020,100001.0,55121,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",14,3,1,Male,Not Asked
740,2020,80000.0,,Full time employee,Architect,2,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
741,2020,185000.0,01566,Full time employee,Manager,2,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
742,2020,94000.0,46637,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",10,5,2,Male,Not Asked
743,2020,100000.0,49099,Full time employee,"Developer: App code (C#, JS, etc)",25,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
744,2020,105000.0,,Full time employee of a consulting/contracting company,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",7,2 (I worked at another similar position elsewhere before this one),None,Prefer not to say,Not Asked
745,2020,144.0,21921,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",35,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
746,2020,107000.0,94553,Full time employee,Developer: T-SQL,1,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
747,2020,110000.0,80020,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",4,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
749,2020,120240.0,97301,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),6,2 (I worked at another similar position elsewhere before this one),5,Male,Not Asked
751,2020,155000.0,78746,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),2,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
752,2020,93000.0,65202,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",6,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
753,2020,92000.0,37127,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),8,4,None,Female,Not Asked
756,2020,76000.0,42701,Full time employee,"Developer: App code (C#, JS, etc)",4,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
757,2020,99500.0,17111,Full time employee,"Developer: App code (C#, JS, etc)",10,2 (I worked at another similar position elsewhere before this one),1,Prefer not to say,Not Asked
759,2020,121000.0,560,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),10,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
760,2020,130000.0,92121,Full time employee,Developer: T-SQL,15,3,1,Male,Not Asked
762,2020,70000.0,85208,Full time employee,Developer: T-SQL,2,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
764,2020,106000.0,73120,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),19,5,4,Female,Not Asked
765,2020,92000.0,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),8,2 (I worked at another similar position elsewhere before this one),None,Female,Not Asked
766,2020,112500.0,8012,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",10,3,More than 5,Male,Not Asked
768,2020,102000.0,75010,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",3,3,3,Male,Not Asked
769,2020,96000.0,67201,Full time employee,Manager,3,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
770,2020,60000.0,,Full time employee of a consulting/contracting company,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",12,6 or more,5,Male,Not Asked
771,2020,114000.0,98006,"Independent consultant, contractor, freelancer,  or company owner",DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),40,6 or more,None,Male,Not Asked
772,2020,109000.0,49500,Full time employee,Developer: T-SQL,19,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
773,2020,87428.0,97701,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),4,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
774,2020,100000.0,,Full time employee,Analyst,10,2 (I worked at another similar position elsewhere before this one),None,Female,Not Asked
777,2020,85000.0,15203,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",8,3,1,Male,Not Asked
779,2020,140000.0,60654,Full time employee,Architect,5,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
780,2020,144000.0,85381,Full time employee,Other,10,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
781,2020,85000.0,37664,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",10,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
784,2020,132000.0,27103,Full time employee,Manager,7,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
785,2020,108000.0,998,Full time employee,"Developer: App code (C#, JS, etc)",10,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
788,2020,115000.0,75007,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),19,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
789,2020,153000.0,98052,Full time employee,Engineer,20,5,More than 5,Male,Not Asked
792,2020,130000.0,55436,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),19,5,None,Male,Not Asked
794,2020,76000.0,14228,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),12,3,None,Male,Not Asked
796,2020,90000.0,75093,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",3,3,1,Male,Not Asked
797,2020,105000.0,15222,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),5,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
798,2020,110000.0,97201,Full time employee,Developer: T-SQL,6,3,More than 5,Male,Not Asked
799,2020,110000.0,55101,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),5,1 (this is the only company where I've had this kind of position),1,Female,Not Asked
800,2020,127000.0,75082,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",4,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
802,2020,113000.0,040,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",12,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
804,2020,150000.0,63101,Full time employee of a consulting/contracting company,Architect,12,3,2,Male,Not Asked
805,2020,195000.0,98027,Full time employee,Manager,7,2 (I worked at another similar position elsewhere before this one),None,Female,Not Asked
806,2020,200000.0,76xxx,Full time employee,Manager,20,5,None,Prefer not to say,Not Asked
807,2020,141000.0,19004,Full time employee,Architect,15,3,2,Male,Not Asked
808,2020,120000.0,80234,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),8,3,5,Male,Not Asked
810,2020,120000.0,98155,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",7,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
812,2020,107000.0,40205,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),18,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
813,2020,60000.0,24014,"Independent consultant, contractor, freelancer,  or company owner",Engineer,20,3,None,Male,Not Asked
814,2020,95000.0,52403,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),1,1 (this is the only company where I've had this kind of position),5,Male,Not Asked
817,2020,97000.0,17405,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),17,3,None,Male,Not Asked
818,2020,70000.0,99019,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),5,1 (this is the only company where I've had this kind of position),1,Female,Not Asked
819,2020,90000.0,53076,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",1,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
821,2020,99800.0,66062,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",4,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
824,2020,109000.0,30014,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),17,3,None,Male,Not Asked
825,2020,75000.0,85746,Full time employee,Engineer,18,3,2,Female,Not Asked
826,2020,125000.0,43017,Full time employee,Engineer,18,3,More than 5,Male,Not Asked
827,2020,80000.0,54601,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),10,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
828,2020,120000.0,30062,Full time employee,Engineer,3,5,2,Male,Not Asked
829,2020,80753.0,018,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),8,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
830,2020,140000.0,77584,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",5,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
832,2020,63300.0,,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",2,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
834,2020,70000.0,66616,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",3,2 (I worked at another similar position elsewhere before this one),1,Female,Not Asked
835,2020,89000.0,17404,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),8,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
